	SubjectID1	SubjectID2	Group1	Group2	Distance
71	6519888d.bb69.495b.b4b8.07d0d4333455	d7c251b8.15e9.4266.bcd8.6e6c6a453c11	fmt-material	swab	0.715957488599035
72	6519888d.bb69.495b.b4b8.07d0d4333455	65ba3877.ad29.4afc.aaec.bcf3544f5f75	fmt-material	swab	0.6550233079994681
73	6519888d.bb69.495b.b4b8.07d0d4333455	72a8ae87.94ea.41e3.b43c.b5337f6a0548	fmt-material	swab	0.6086496691069373
74	6519888d.bb69.495b.b4b8.07d0d4333455	35a8aef7.4bb0.4cab.bc0e.3576bb706571	fmt-material	swab	0.6242864856630177
75	6519888d.bb69.495b.b4b8.07d0d4333455	df4b001a.f4cd.4b71.8ebe.a68b8df2cb80	fmt-material	swab	0.5898339705252734
76	6519888d.bb69.495b.b4b8.07d0d4333455	101c02ce.4f8d.4394.83a3.0c406831d934	fmt-material	swab	0.700983388115707
77	6519888d.bb69.495b.b4b8.07d0d4333455	8c4ae03d.dd8c.44ec.8336.15e0b031d97f	fmt-material	swab	0.7517096102814301
78	6519888d.bb69.495b.b4b8.07d0d4333455	14c94c5e.aaf2.414f.a72f.74ccc134b294	fmt-material	swab	0.6371892147127863
79	6519888d.bb69.495b.b4b8.07d0d4333455	11c4be47.fdce.4135.8acf.0894f2da5ede	fmt-material	swab	0.4936017762017564
80	6519888d.bb69.495b.b4b8.07d0d4333455	b49ad14d.07c8.454d.82ec.c6fb9c7bcc36	fmt-material	swab	0.7316762140296565
81	6519888d.bb69.495b.b4b8.07d0d4333455	11c70d46.e0a4.4797.ad7b.3677fe93d73b	fmt-material	swab	0.7260363735826645
82	6519888d.bb69.495b.b4b8.07d0d4333455	c8b831af.2e3c.4aaa.83cf.b66c3016e0f3	fmt-material	swab	0.5374901545911193
83	6519888d.bb69.495b.b4b8.07d0d4333455	ec91140e.0862.4ece.bb4a.d114f4c42bdb	fmt-material	swab	0.5881811309485228
84	6519888d.bb69.495b.b4b8.07d0d4333455	e94edb86.8fe0.42b8.a255.c48d4551405b	fmt-material	swab	0.5146368616991092
85	6519888d.bb69.495b.b4b8.07d0d4333455	fae97eb5.3264.4211.8ea3.823f547a6f0c	fmt-material	swab	0.5112448532547301
86	6519888d.bb69.495b.b4b8.07d0d4333455	e4485061.924a.4f09.9d7e.bfefc780d1a8	fmt-material	swab	0.7592871030383268
87	6519888d.bb69.495b.b4b8.07d0d4333455	2a1b28ba.f47e.44b6.bfd7.d3e41e762db3	fmt-material	swab	0.7674013018499157
88	6519888d.bb69.495b.b4b8.07d0d4333455	212f0ce6.9123.4e38.abf3.db944de7f1c1	fmt-material	swab	0.6804771124390753
89	6519888d.bb69.495b.b4b8.07d0d4333455	d6223d2e.0d62.4658.8eec.ccc9d4ee86a3	fmt-material	swab	0.7013247660265519
90	6519888d.bb69.495b.b4b8.07d0d4333455	20aa4aaf.8242.48d9.a225.e9f6b3e8938c	fmt-material	swab	0.6927113391858433
91	6519888d.bb69.495b.b4b8.07d0d4333455	17f96e8a.dc68.4aef.98db.8aaaab702e33	fmt-material	swab	0.5793513402926872
92	6519888d.bb69.495b.b4b8.07d0d4333455	61c3930c.61c4.4c82.8475.7a10ccaeb71c	fmt-material	swab	0.6007428882807755
93	6519888d.bb69.495b.b4b8.07d0d4333455	ac7d2af0.9c75.4a32.bb2b.e79380ab8c61	fmt-material	swab	0.6965504509514485
94	6519888d.bb69.495b.b4b8.07d0d4333455	b612f67e.eea8.4e03.81b7.034dbfc44669	fmt-material	swab	0.6629060388996549
95	6519888d.bb69.495b.b4b8.07d0d4333455	36b313f7.8a44.4bdc.8034.82260a83d7b9	fmt-material	swab	0.6784508342038108
96	6519888d.bb69.495b.b4b8.07d0d4333455	6ecca0ea.049c.41ec.b324.404e504d44c0	fmt-material	swab	0.6299982282329044
97	6519888d.bb69.495b.b4b8.07d0d4333455	55b26af1.31a6.4606.8b99.bf415a009311	fmt-material	swab	0.5797691860449141
98	6519888d.bb69.495b.b4b8.07d0d4333455	e5574c01.3027.458d.8f96.d68b66aae40b	fmt-material	swab	0.6802730000422185
99	6519888d.bb69.495b.b4b8.07d0d4333455	dfc347e3.eed7.4592.95eb.374724230326	fmt-material	swab	0.5806460414077033
100	6519888d.bb69.495b.b4b8.07d0d4333455	4b9ad407.fc2f.4463.bccc.0cf3a28d05f6	fmt-material	swab	0.5695932355825261
101	6519888d.bb69.495b.b4b8.07d0d4333455	c18a0367.8148.4450.bf5a.507b6fe30c73	fmt-material	swab	0.6231911631957953
102	6519888d.bb69.495b.b4b8.07d0d4333455	15129220.6eda.44ad.9511.be0f6e027f5d	fmt-material	swab	0.6348230454307201
103	6519888d.bb69.495b.b4b8.07d0d4333455	183645ce.cacd.4744.8440.de4eb377dfea	fmt-material	swab	0.6642959303747656
104	6519888d.bb69.495b.b4b8.07d0d4333455	37f1087f.ae31.4fde.b96b.4b6c1d61351e	fmt-material	swab	0.5803658651682488
105	6519888d.bb69.495b.b4b8.07d0d4333455	a6108908.5ef9.47ef.8f57.b055bc6ee7aa	fmt-material	swab	0.539112306830621
106	6519888d.bb69.495b.b4b8.07d0d4333455	884e1ddb.8d8b.45cf.8dba.16387520872c	fmt-material	swab	0.5853989309421236
107	6519888d.bb69.495b.b4b8.07d0d4333455	08ea0c6b.7a30.4074.bbf6.557480fc5285	fmt-material	swab	0.5804308102249844
108	6519888d.bb69.495b.b4b8.07d0d4333455	e9494e22.99d6.4e10.868f.208832eb3104	fmt-material	swab	0.6264943717605128
109	6519888d.bb69.495b.b4b8.07d0d4333455	1230c3fd.efa4.4ad9.8f01.499141965b11	fmt-material	swab	0.674713974258407
110	6519888d.bb69.495b.b4b8.07d0d4333455	00954e18.1dcf.40fc.a52e.255f5cda6f9c	fmt-material	swab	0.6423490143654129
111	6519888d.bb69.495b.b4b8.07d0d4333455	28e84479.bd9f.4d55.bb03.1411b71bdc9b	fmt-material	swab	0.6510219295206985
112	6519888d.bb69.495b.b4b8.07d0d4333455	1037164d.a836.4ebe.bf98.92294a0b60ab	fmt-material	swab	0.5937488494824491
113	6519888d.bb69.495b.b4b8.07d0d4333455	c2072c98.e9a0.4af2.8cc1.c03be62710d8	fmt-material	swab	0.6616668037785163
114	6519888d.bb69.495b.b4b8.07d0d4333455	7af6e763.ab6a.49e9.ac6d.5da1c74c54bd	fmt-material	swab	0.6671781172332893
115	6519888d.bb69.495b.b4b8.07d0d4333455	5a8541e7.b0a2.48c0.8fa1.4cba3f011111	fmt-material	swab	0.5838128326983045
116	6519888d.bb69.495b.b4b8.07d0d4333455	55f8d345.8251.43a1.ab05.c9418f6fefd7	fmt-material	swab	0.5578892885477708
117	6519888d.bb69.495b.b4b8.07d0d4333455	4f2698fd.665f.4ed1.be97.ffc1529e21b0	fmt-material	swab	0.6508063751153181
